model,scenario,station,season,change_pct
ACCESS-ESM1-5,ssp245,500001,Annual,-8.33
ACCESS-ESM1-5,ssp245,500001,Dry,6.29
ACCESS-ESM1-5,ssp245,500001,Wet,-10.76
ACCESS-ESM1-5,ssp245,500002,Annual,-9.01
ACCESS-ESM1-5,ssp245,500002,Dry,12.52
ACCESS-ESM1-5,ssp245,500002,Wet,-13.01
ACCESS-ESM1-5,ssp245,500003,Annual,-7.31
ACCESS-ESM1-5,ssp245,500003,Dry,8.98
ACCESS-ESM1-5,ssp245,500003,Wet,-10.53
ACCESS-ESM1-5,ssp245,500004,Annual,-9.81
ACCESS-ESM1-5,ssp245,500004,Dry,7.6
ACCESS-ESM1-5,ssp245,500004,Wet,-13.35
ACCESS-ESM1-5,ssp245,500005,Annual,-5.88
ACCESS-ESM1-5,ssp245,500005,Dry,23.16
ACCESS-ESM1-5,ssp245,500005,Wet,-12.53
ACCESS-ESM1-5,ssp245,500006,Annual,-5.77
ACCESS-ESM1-5,ssp245,500006,Dry,21.81
ACCESS-ESM1-5,ssp245,500006,Wet,-12.73
ACCESS-ESM1-5,ssp245,500007,Annual,-1.17
ACCESS-ESM1-5,ssp245,500007,Dry,19.31
ACCESS-ESM1-5,ssp245,500007,Wet,-7.0
ACCESS-ESM1-5,ssp245,500008,Annual,-3.37
ACCESS-ESM1-5,ssp245,500008,Dry,14.97
ACCESS-ESM1-5,ssp245,500008,Wet,-7.06
ACCESS-ESM1-5,ssp245,500009,Annual,-3.8
ACCESS-ESM1-5,ssp245,500009,Dry,14.02
ACCESS-ESM1-5,ssp245,500009,Wet,-7.3
ACCESS-ESM1-5,ssp245,500201,Annual,-3.81
ACCESS-ESM1-5,ssp245,500201,Dry,21.87
ACCESS-ESM1-5,ssp245,500201,Wet,-13.25
ACCESS-ESM1-5,ssp245,500202,Annual,-3.19
ACCESS-ESM1-5,ssp245,500202,Dry,16.0
ACCESS-ESM1-5,ssp245,500202,Wet,-8.36
ACCESS-ESM1-5,ssp245,500301,Annual,-4.45
ACCESS-ESM1-5,ssp245,500301,Dry,15.71
ACCESS-ESM1-5,ssp245,500301,Wet,-9.05
ACCESS-ESM1-5,ssp585,500001,Annual,-9.23
ACCESS-ESM1-5,ssp585,500001,Dry,2.91
ACCESS-ESM1-5,ssp585,500001,Wet,-12.03
ACCESS-ESM1-5,ssp585,500002,Annual,-6.77
ACCESS-ESM1-5,ssp585,500002,Dry,16.37
ACCESS-ESM1-5,ssp585,500002,Wet,-11.87
ACCESS-ESM1-5,ssp585,500003,Annual,-8.3
ACCESS-ESM1-5,ssp585,500003,Dry,3.25
ACCESS-ESM1-5,ssp585,500003,Wet,-11.57
ACCESS-ESM1-5,ssp585,500004,Annual,-5.33
ACCESS-ESM1-5,ssp585,500004,Dry,16.66
ACCESS-ESM1-5,ssp585,500004,Wet,-10.84
ACCESS-ESM1-5,ssp585,500005,Annual,-5.68
ACCESS-ESM1-5,ssp585,500005,Dry,19.17
ACCESS-ESM1-5,ssp585,500005,Wet,-12.18
ACCESS-ESM1-5,ssp585,500006,Annual,-5.49
ACCESS-ESM1-5,ssp585,500006,Dry,18.43
ACCESS-ESM1-5,ssp585,500006,Wet,-12.38
ACCESS-ESM1-5,ssp585,500007,Annual,-8.07
ACCESS-ESM1-5,ssp585,500007,Dry,5.76
ACCESS-ESM1-5,ssp585,500007,Wet,-12.97
ACCESS-ESM1-5,ssp585,500008,Annual,-9.2
ACCESS-ESM1-5,ssp585,500008,Dry,4.29
ACCESS-ESM1-5,ssp585,500008,Wet,-12.34
ACCESS-ESM1-5,ssp585,500009,Annual,-9.24
ACCESS-ESM1-5,ssp585,500009,Dry,4.24
ACCESS-ESM1-5,ssp585,500009,Wet,-12.31
ACCESS-ESM1-5,ssp585,500201,Annual,1.24
ACCESS-ESM1-5,ssp585,500201,Dry,28.34
ACCESS-ESM1-5,ssp585,500201,Wet,-11.5
ACCESS-ESM1-5,ssp585,500202,Annual,-8.47
ACCESS-ESM1-5,ssp585,500202,Dry,6.31
ACCESS-ESM1-5,ssp585,500202,Wet,-14.21
ACCESS-ESM1-5,ssp585,500301,Annual,-9.31
ACCESS-ESM1-5,ssp585,500301,Dry,6.37
ACCESS-ESM1-5,ssp585,500301,Wet,-14.16
CESM2,ssp245,500001,Annual,-10.04
CESM2,ssp245,500001,Dry,-11.8
CESM2,ssp245,500001,Wet,-9.09
CESM2,ssp245,500002,Annual,-4.22
CESM2,ssp245,500002,Dry,-12.3
CESM2,ssp245,500002,Wet,-1.87
CESM2,ssp245,500003,Annual,-6.6
CESM2,ssp245,500003,Dry,-12.0
CESM2,ssp245,500003,Wet,-4.76
CESM2,ssp245,500004,Annual,-7.17
CESM2,ssp245,500004,Dry,-12.09
CESM2,ssp245,500004,Wet,-5.28
CESM2,ssp245,500005,Annual,-6.4
CESM2,ssp245,500005,Dry,-11.37
CESM2,ssp245,500005,Wet,-4.45
CESM2,ssp245,500006,Annual,-6.74
CESM2,ssp245,500006,Dry,-11.35
CESM2,ssp245,500006,Wet,-4.69
CESM2,ssp245,500007,Annual,-5.22
CESM2,ssp245,500007,Dry,-11.11
CESM2,ssp245,500007,Wet,-2.26
CESM2,ssp245,500008,Annual,-9.14
CESM2,ssp245,500008,Dry,-13.86
CESM2,ssp245,500008,Wet,-7.68
CESM2,ssp245,500009,Annual,-7.1
CESM2,ssp245,500009,Dry,-12.65
CESM2,ssp245,500009,Wet,-5.46
CESM2,ssp245,500201,Annual,-2.82
CESM2,ssp245,500201,Dry,-9.65
CESM2,ssp245,500201,Wet,2.2
CESM2,ssp245,500202,Annual,-4.34
CESM2,ssp245,500202,Dry,-10.34
CESM2,ssp245,500202,Wet,-1.0
CESM2,ssp245,500301,Annual,-5.73
CESM2,ssp245,500301,Dry,-10.58
CESM2,ssp245,500301,Wet,-3.41
CESM2,ssp585,500001,Annual,-20.52
CESM2,ssp585,500001,Dry,-26.8
CESM2,ssp585,500001,Wet,-18.21
CESM2,ssp585,500002,Annual,-17.25
CESM2,ssp585,500002,Dry,-27.53
CESM2,ssp585,500002,Wet,-14.16
CESM2,ssp585,500003,Annual,-20.88
CESM2,ssp585,500003,Dry,-34.35
CESM2,ssp585,500003,Wet,-16.86
CESM2,ssp585,500004,Annual,-20.61
CESM2,ssp585,500004,Dry,-25.91
CESM2,ssp585,500004,Wet,-18.14
CESM2,ssp585,500005,Annual,-19.0
CESM2,ssp585,500005,Dry,-21.51
CESM2,ssp585,500005,Wet,-17.15
