dataset,scenario,station,year,season,mean,median,p25,p75,n_models
BC,historical,500001,1981,Annual,1005.9571428571429,962.23,749.21,1212.265,7
BC,historical,500001,1981,Wet,801.5514285714286,814.52,587.375,934.21,7
BC,historical,500001,1982,Annual,959.8485714285715,819.98,747.05,1134.7350000000001,7
BC,historical,500001,1982,Dry,185.30857142857144,150.88000000000002,87.38499999999999,235.99,7
BC,historical,500001,1982,Wet,754.8071428571428,658.16,632.745,851.0250000000001,7
BC,historical,500001,1983,Annual,1199.4714285714285,1045.92,903.3299999999999,1442.725,7
BC,historical,500001,1983,Dry,194.68,143.07000000000002,120.27999999999999,225.71500000000003,7
BC,historical,500001,1983,Wet,1030.1285714285714,893.22,760.61,1198.4450000000002,7
BC,historical,500001,1984,Annual,1055.1185714285714,932.7800000000001,862.5899999999999,1187.19,7
BC,historical,500001,1984,Dry,185.5157142857143,95.46000000000001,77.35,223.96,7
BC,historical,500001,1984,Wet,866.8614285714285,872.83,692.87,1014.145,7
BC,historical,500001,1985,Annual,1192.4942857142858,912.33,785.74,1660.89,7
BC,historical,500001,1985,Dry,165.49,153.44,116.10499999999999,228.95,7
BC,historical,500001,1985,Wet,1019.0199999999999,795.44,717.815,1387.085,7
BC,historical,500001,1986,Annual,955.0128571428571,1012.6500000000001,746.84,1162.195,7
BC,historical,500001,1986,Dry,131.75428571428571,105.89000000000001,70.82,149.87,7
BC,historical,500001,1986,Wet,845.59,912.44,673.1800000000001,1001.21,7
BC,historical,500001,1987,Annual,1017.1271428571429,854.4899999999999,813.75,1142.74,7
BC,historical,500001,1987,Dry,140.90285714285713,108.9,61.94499999999999,166.11499999999998,7
BC,historical,500001,1987,Wet,862.5971428571429,772.99,710.745,990.835,7
BC,historical,500001,1988,Annual,1089.3885714285714,952.9100000000001,727.655,1419.78,7
BC,historical,500001,1988,Dry,156.4,127.86999999999999,94.45,191.39999999999998,7
BC,historical,500001,1988,Wet,908.9428571428572,766.1400000000001,609.54,1190.31,7
BC,historical,500001,1989,Annual,871.9728571428572,834.02,780.3100000000001,1002.0450000000001,7
BC,historical,500001,1989,Dry,146.08285714285714,141.9,111.50999999999999,170.535,7
BC,historical,500001,1989,Wet,746.4514285714286,721.87,647.675,842.0050000000001,7
BC,historical,500001,1990,Annual,837.3000000000001,682.07,534.145,1049.955,7
BC,historical,500001,1990,Dry,155.77428571428572,135.28,99.625,192.51999999999998,7
BC,historical,500001,1990,Wet,703.8057142857143,556.62,449.495,865.625,7
BC,historical,500001,1991,Annual,1088.6128571428571,969.51,812.04,1284.53,7
BC,historical,500001,1991,Dry,151.02714285714288,136.99,113.79,173.45,7
BC,historical,500001,1991,Wet,929.16,708.9,689.1699999999998,1101.555,7
BC,historical,500001,1992,Annual,1013.9085714285715,1127.95,746.97,1269.075,7
BC,historical,500001,1992,Dry,128.56571428571428,126.63,78.87499999999999,168.93,7
BC,historical,500001,1992,Wet,893.62,964.8599999999999,664.8900000000001,1107.06,7
BC,historical,500001,1993,Annual,954.25,995.4299999999998,797.25,1094.095,7
BC,historical,500001,1993,Dry,140.58857142857144,160.89999999999998,70.125,195.06,7
BC,historical,500001,1993,Wet,803.7957142857142,786.7299999999999,676.8,959.96,7
BC,historical,500001,1994,Annual,1196.8614285714286,1103.76,951.54,1477.8850000000002,7
BC,historical,500001,1994,Dry,123.49428571428572,102.41999999999999,61.39,180.55,7
BC,historical,500001,1994,Wet,1057.1142857142856,1029.01,911.585,1274.22,7
BC,historical,500001,1995,Annual,1305.0257142857142,1120.27,1003.9449999999999,1574.18,7
BC,historical,500001,1995,Dry,144.33285714285714,108.81000000000002,79.81,200.045,7
BC,historical,500001,1995,Wet,1113.5571428571427,994.58,884.635,1253.67,7
BC,historical,500001,1996,Annual,1049.9828571428573,1108.93,878.5300000000001,1224.72,7
BC,historical,500001,1996,Dry,168.1985714285714,85.63,71.855,230.03500000000003,7
BC,historical,500001,1996,Wet,880.3385714285714,886.26,765.9649999999999,1042.995,7
BC,historical,500001,1997,Annual,803.7242857142858,772.2,495.235,1079.2,7
BC,historical,500001,1997,Dry,232.66571428571427,239.82,195.82999999999998,242.8,7
BC,historical,500001,1997,Wet,607.7357142857143,526.01,356.255,883.49,7
BC,historical,500001,1998,Annual,1196.8328571428572,1257.35,952.3,1463.995,7
BC,historical,500001,1998,Dry,172.21142857142857,148.46,123.69000000000001,227.18,7
BC,historical,500001,1998,Wet,1018.2357142857144,1093.5,903.7450000000001,1156.13,7
BC,historical,500001,1999,Annual,979.6957142857143,1029.4699999999998,932.4,1052.4650000000001,7
BC,historical,500001,1999,Dry,149.67142857142855,124.44,73.77000000000001,211.66,7
BC,historical,500001,1999,Wet,825.7414285714286,839.89,765.76,919.7650000000001,7
BC,historical,500001,2000,Annual,826.3657142857144,730.0999999999999,589.345,1108.315,7
BC,historical,500001,2000,Dry,179.52714285714288,172.94,116.65499999999997,227.86,7
BC,historical,500001,2000,Wet,696.9514285714286,685.2299999999999,440.62,935.66,7
BC,historical,500001,2001,Annual,1186.58,1169.9300000000003,835.4549999999999,1377.085,7
BC,historical,500001,2001,Dry,146.16,132.75,68.91499999999999,187.85,7
BC,historical,500001,2001,Wet,1015.1028571428571,1005.81,708.5500000000001,1133.295,7
BC,historical,500001,2002,Annual,934.5,1018.3200000000002,839.7549999999999,1067.98,7
BC,historical,500001,2002,Dry,133.03285714285715,156.5,65.0,177.79500000000002,7
BC,historical,500001,2002,Wet,819.03,869.61,747.885,937.695,7
BC,historical,500001,2003,Annual,933.1485714285715,1065.6799999999998,849.9250000000001,1143.4499999999998,7
BC,historical,500001,2003,Dry,162.4,156.06,108.78999999999999,179.575,7
BC,historical,500001,2003,Wet,726.6257142857143,811.25,625.235,876.28,7
BC,historical,500001,2004,Annual,993.147142857143,964.88,875.9750000000001,1239.7250000000001,7
BC,historical,500001,2004,Dry,174.67285714285714,155.63,118.65500000000002,215.93,7
BC,historical,500001,2004,Wet,862.22,900.14,759.7199999999999,1079.155,7
BC,historical,500001,2005,Annual,1102.1771428571428,1132.3200000000002,1000.525,1303.295,7
BC,historical,500001,2005,Dry,140.01714285714286,104.35,65.35,204.09499999999997,7
BC,historical,500001,2005,Wet,935.6542857142857,970.1199999999999,832.4300000000001,1073.255,7
BC,historical,500001,2006,Annual,991.157142857143,935.1600000000001,787.7,997.86,7
BC,historical,500001,2006,Dry,111.52285714285713,81.49000000000001,66.70499999999998,178.24499999999998,7
BC,historical,500001,2006,Wet,891.5342857142857,798.3200000000002,702.22,862.125,7
BC,historical,500001,2007,Annual,859.3657142857143,742.6400000000001,581.425,975.6800000000001,7
BC,historical,500001,2007,Dry,139.94857142857143,130.39000000000001,77.8,155.24,7
BC,historical,500001,2007,Wet,719.5742857142857,606.06,511.48499999999996,883.405,7
BC,historical,500001,2008,Annual,918.2914285714286,749.6,621.4849999999999,1140.52,7
BC,historical,500001,2008,Dry,162.6257142857143,146.31,74.9,205.845,7
BC,historical,500001,2008,Wet,760.1028571428571,630.8700000000001,488.605,973.015,7
BC,historical,500001,2009,Annual,980.6285714285714,1023.98,631.725,1293.63,7
BC,historical,500001,2009,Dry,142.98142857142855,36.08,35.27,273.53499999999997,7
BC,historical,500001,2009,Wet,831.4785714285715,846.92,573.755,979.77,7
BC,historical,500001,2010,Annual,905.4957142857144,815.4300000000001,667.085,1046.03,7
BC,historical,500001,2010,Dry,225.58857142857144,204.32999999999998,136.465,290.75,7
BC,historical,500001,2010,Wet,693.9657142857143,771.4100000000001,570.1400000000001,864.015,7
BC,historical,500001,2011,Annual,944.97,996.4499999999999,858.115,1067.795,7
BC,historical,500001,2011,Dry,121.20571428571428,104.98000000000002,43.239999999999995,175.89499999999998,7
BC,historical,500001,2011,Wet,816.7128571428572,761.23,702.26,965.625,7
BC,historical,500001,2012,Annual,817.1257142857143,716.4000000000001,605.3299999999999,1018.82,7
BC,historical,500001,2012,Dry,157.33571428571432,112.50000000000001,49.255,243.19499999999996,7
BC,historical,500001,2012,Wet,627.2114285714285,624.49,497.75,708.05,7
BC,historical,500001,2013,Annual,929.3071428571428,822.52,717.27,1120.16,7
BC,historical,500001,2013,Dry,154.64714285714285,96.58,53.614999999999995,270.205,7
BC,historical,500001,2013,Wet,802.12,709.1800000000001,515.255,960.3399999999999,7
BC,historical,500001,2014,Annual,1063.0228571428572,1076.73,714.1949999999999,1293.2350000000001,7
BC,historical,500001,2014,Dry,211.00571428571428,110.96000000000001,81.45499999999998,341.905,7
BC,historical,500001,2014,Wet,803.1828571428572,726.62,570.9100000000001,968.8700000000001,7
BC,historical,500002,1981,Annual,1224.4285714285713,1153.0,1047.645,1434.7949999999998,7
BC,historical,500002,1981,Wet,989.5385714285715,958.05,834.58,1087.015,7
BC,historical,500002,1982,Annual,1389.662857142857,1305.3600000000001,1221.93,1487.87,7
BC,historical,500002,1982,Dry,261.79,194.87,171.185,251.44,7
BC,historical,500002,1982,Wet,1138.4,1080.82,1036.21,1184.41,7
BC,historical,500002,1983,Annual,1456.892857142857,1327.79,1298.1,1509.355,7
BC,historical,500002,1983,Dry,246.3557142857143,211.78000000000003,176.97,286.925,7
BC,historical,500002,1983,Wet,1198.2585714285713,1152.8899999999999,1061.8249999999998,1186.13,7
BC,historical,500002,1984,Annual,1471.5442857142857,1480.93,1260.6149999999998,1665.1599999999999,7
BC,historical,500002,1984,Dry,302.98857142857145,257.34999999999997,183.945,311.57500000000005,7
BC,historical,500002,1984,Wet,1148.2214285714285,1163.1599999999999,1073.51,1230.7649999999999,7
BC,historical,500002,1985,Annual,1596.4857142857143,1503.6100000000001,1242.475,1981.7350000000001,7
BC,historical,500002,1985,Dry,267.2442857142857,189.92000000000002,180.11,333.245,7
BC,historical,500002,1985,Wet,1309.0842857142857,1203.5800000000002,1122.7350000000001,1529.145,7
BC,historical,500002,1986,Annual,1340.2157142857143,1347.5,1125.405,1575.155,7
BC,historical,500002,1986,Dry,227.16857142857143,276.6,136.17000000000002,290.70500000000004,7
BC,historical,500002,1986,Wet,1187.2557142857145,1209.6,1029.2,1382.4,7
BC,historical,500002,1987,Annual,1224.1814285714286,1150.8600000000001,1099.9950000000001,1238.34,7
BC,historical,500002,1987,Dry,158.52285714285716,134.41,105.86999999999999,171.535,7
BC,historical,500002,1987,Wet,1017.14,1037.12,946.98,1079.25,7
BC,historical,500002,1988,Annual,1547.2485714285715,1562.33,1325.005,1806.4050000000002,7
BC,historical,500002,1988,Dry,314.17285714285714,238.27,210.31,380.505,7
BC,historical,500002,1988,Wet,1235.4714285714285,1237.4299999999998,1104.9099999999999,1326.875,7
BC,historical,500002,1989,Annual,1467.2314285714285,1343.2999999999997,1286.27,1676.0700000000002,7
BC,historical,500002,1989,Dry,223.18,237.64,199.54500000000002,250.625,7
BC,historical,500002,1989,Wet,1257.9842857142855,1133.3,1106.6,1461.5149999999999,7
BC,historical,500002,1990,Annual,1241.5171428571427,1091.6,897.41,1472.075,7
BC,historical,500002,1990,Dry,218.6157142857143,224.93,197.35000000000002,241.01,7
BC,historical,500002,1990,Wet,1018.2342857142858,855.05,718.2950000000001,1169.47,7
BC,historical,500002,1991,Annual,1387.467142857143,1155.81,1116.135,1658.7649999999999,7
BC,historical,500002,1991,Dry,307.1842857142857,263.03,196.865,356.605,7
BC,historical,500002,1991,Wet,1094.1457142857143,952.12,849.52,1211.19,7
BC,historical,500002,1992,Annual,1402.77,1348.72,1187.95,1597.335,7
BC,historical,500002,1992,Dry,179.48857142857145,210.29000000000002,149.555,217.03,7
BC,historical,500002,1992,Wet,1211.3642857142856,1123.04,1032.335,1381.44,7
BC,historical,500002,1993,Annual,1283.8628571428574,1189.96,1077.615,1335.96,7
BC,historical,500002,1993,Dry,226.14714285714288,128.97000000000003,109.19,303.9,7
BC,historical,500002,1993,Wet,1042.0628571428572,980.46,946.31,1098.145,7
BC,historical,500002,1994,Annual,1521.4842857142855,1427.2800000000002,1336.1750000000002,1550.62,7
BC,historical,500002,1994,Dry,280.0385714285714,311.6,153.335,397.475,7
BC,historical,500002,1994,Wet,1254.1271428571429,1136.42,1030.3300000000002,1360.345,7
BC,historical,500002,1995,Annual,1468.1200000000001,1368.67,1218.2,1738.7949999999996,7
BC,historical,500002,1995,Dry,246.0914285714286,255.91000000000003,181.56,263.77,7
BC,historical,500002,1995,Wet,1194.4242857142856,1103.3899999999999,971.415,1391.37,7
BC,historical,500002,1996,Annual,1321.5757142857144,1400.0000000000002,1156.9750000000001,1510.675,7
BC,historical,500002,1996,Dry,245.45285714285714,196.77000000000004,151.29500000000002,298.5,7
BC,historical,500002,1996,Wet,1095.7042857142858,1107.3000000000002,876.5649999999999,1306.6549999999997,7
BC,historical,500002,1997,Annual,1254.642857142857,1202.5200000000002,1050.7549999999999,1495.145,7
BC,historical,500002,1997,Dry,256.3957142857143,254.85,185.995,316.17,7
BC,historical,500002,1997,Wet,997.7300000000001,964.8499999999999,791.225,1218.7450000000001,7
BC,historical,500002,1998,Annual,1527.7585714285713,1558.69,1326.49,1744.42,7
BC,historical,500002,1998,Dry,182.41000000000003,197.96,150.82,210.84500000000003,7
BC,historical,500002,1998,Wet,1330.2628571428572,1362.83,1188.44,1463.475,7
BC,historical,500002,1999,Annual,1540.107142857143,1674.9800000000002,1251.2,1831.69,7
BC,historical,500002,1999,Dry,262.09714285714284,277.88,178.375,320.275,7
BC,historical,500002,1999,Wet,1275.1185714285714,1411.6599999999999,1070.72,1487.23,7
BC,historical,500002,2000,Annual,1373.65,1186.88,1084.12,1674.46,7
BC,historical,500002,2000,Dry,239.40571428571428,258.15999999999997,183.41000000000003,263.55499999999995,7
BC,historical,500002,2000,Wet,1166.3828571428571,988.99,908.2950000000001,1418.69,7
BC,historical,500002,2001,Annual,1330.537142857143,1372.54,1156.335,1461.7549999999999,7
BC,historical,500002,2001,Dry,201.58428571428573,160.92000000000002,93.82499999999999,250.84,7
BC,historical,500002,2001,Wet,1106.8857142857144,1049.6999999999998,986.87,1163.045,7
BC,historical,500002,2002,Annual,1414.5985714285714,1539.21,1342.2649999999999,1610.39,7
BC,historical,500002,2002,Dry,252.1042857142857,267.93,181.07,318.84999999999997,7
BC,historical,500002,2002,Wet,1194.31,1301.9700000000003,1110.635,1333.455,7
BC,historical,500002,2003,Annual,1452.9414285714286,1508.16,1384.91,1605.55,7
BC,historical,500002,2003,Dry,277.6714285714286,304.47,219.1,333.515,7
BC,historical,500002,2003,Wet,1126.0614285714287,1158.7199999999998,1028.0500000000002,1239.535,7
BC,historical,500002,2004,Annual,1378.9985714285715,1334.12,1223.24,1624.765,7
BC,historical,500002,2004,Dry,246.90714285714284,274.55,186.925,309.345,7
BC,historical,500002,2004,Wet,1160.7071428571428,1155.69,1001.88,1359.865,7
BC,historical,500002,2005,Annual,1529.1114285714284,1675.21,1432.03,1692.655,7
BC,historical,500002,2005,Dry,277.19,219.66,156.03,416.86,7
BC,historical,500002,2005,Wet,1233.67,1281.06,982.79,1444.44,7
BC,historical,500002,2006,Annual,1485.054285714286,1523.4399999999998,1270.75,1738.27,7
BC,historical,500002,2006,Dry,200.89142857142858,165.71999999999997,137.795,288.775,7
BC,historical,500002,2006,Wet,1288.6557142857143,1293.84,1095.875,1558.1200000000001,7
BC,historical,500002,2007,Annual,1174.7185714285715,1214.67,938.31,1297.345,7
BC,historical,500002,2007,Dry,244.34285714285716,246.10000000000002,195.03500000000003,264.68,7
BC,historical,500002,2007,Wet,971.2714285714285,999.52,782.29,1129.1,7
BC,historical,500002,2008,Annual,1247.5342857142857,1222.09,989.585,1365.15,7
BC,historical,500002,2008,Dry,224.9042857142857,213.36999999999998,180.93,242.925,7
BC,historical,500002,2008,Wet,1020.0214285714286,936.8499999999999,796.2900000000001,1176.545,7
BC,historical,500002,2009,Annual,1288.3999999999999,1330.17,1005.2150000000001,1481.08,7
BC,historical,500002,2009,Dry,174.13714285714286,111.57,66.44500000000001,289.365,7
BC,historical,500002,2009,Wet,1068.5842857142857,1056.1100000000001,829.135,1154.0950000000003,7
BC,historical,500002,2010,Annual,1356.027142857143,1274.8899999999999,1011.01,1565.6750000000002,7
BC,historical,500002,2010,Dry,360.00142857142856,298.51,181.98499999999999,394.995,7
BC,historical,500002,2010,Wet,1009.1271428571429,1085.8200000000002,829.965,1287.84,7
BC,historical,500002,2011,Annual,1449.1785714285713,1433.3899999999999,1352.5500000000002,1573.475,7
BC,historical,500002,2011,Dry,331.95714285714286,255.62,187.83999999999997,394.03999999999996,7
BC,historical,500002,2011,Wet,1120.722857142857,1101.97,1051.38,1160.0949999999998,7
BC,historical,500002,2012,Annual,1239.4057142857143,1303.68,1077.99,1434.225,7
BC,historical,500002,2012,Dry,228.47714285714287,173.26000000000002,122.13499999999999,300.615,7
BC,historical,500002,2012,Wet,1014.8171428571428,1106.75,881.5199999999999,1140.3649999999998,7
BC,historical,500002,2013,Annual,1410.6614285714288,1336.7200000000003,1170.1599999999999,1675.6100000000001,7
BC,historical,500002,2013,Dry,259.61285714285714,283.34,158.425,361.635,7
BC,historical,500002,2013,Wet,1161.5057142857142,1163.15,964.9649999999999,1332.94,7
BC,historical,500002,2014,Annual,1541.4014285714286,1569.7199999999998,1403.525,1624.8,7
BC,historical,500002,2014,Dry,358.34000000000003,289.14,206.435,502.57500000000005,7
BC,historical,500002,2014,Wet,1140.59,1161.01,1037.565,1240.0449999999998,7
BC,historical,500003,1981,Annual,1109.0928571428572,1199.97,880.29,1233.1100000000001,7
BC,historical,500003,1981,Wet,899.5342857142857,848.1500000000001,667.185,1100.675,7
BC,historical,500003,1982,Annual,1083.2442857142855,929.26,904.48,1211.685,7
BC,historical,500003,1982,Dry,226.3957142857143,164.97,105.95499999999998,263.255,7
BC,historical,500003,1982,Wet,847.0428571428572,808.81,692.8299999999999,970.72,7
BC,historical,500003,1983,Annual,1324.1942857142858,1226.73,1027.53,1566.9950000000001,7
BC,historical,500003,1983,Dry,248.62714285714284,253.31999999999996,176.2,305.305,7
BC,historical,500003,1983,Wet,1104.6471428571429,1005.11,819.015,1271.01,7
BC,historical,500003,1984,Annual,1126.44,1049.88,839.9100000000001,1331.38,7
BC,historical,500003,1984,Dry,197.65,123.97999999999999,94.75999999999999,279.705,7
BC,historical,500003,1984,Wet,906.5028571428572,908.3,688.63,1070.605,7
BC,historical,500003,1985,Annual,1384.9514285714286,1325.66,956.75,1862.335,7
BC,historical,500003,1985,Dry,219.28,227.82,130.035,297.835,7
BC,historical,500003,1985,Wet,1122.7471428571428,1010.3699999999999,828.13,1494.275,7
BC,historical,500003,1986,Annual,991.2985714285714,893.97,807.4649999999999,1208.785,7
BC,historical,500003,1986,Dry,206.4942857142857,178.70000000000002,100.89500000000001,294.405,7
BC,historical,500003,1986,Wet,848.2257142857143,830.3,691.22,967.58,7
BC,historical,500003,1987,Annual,1026.1014285714284,881.7399999999999,748.79,1133.92,7
BC,historical,500003,1987,Dry,155.3114285714286,151.35999999999999,64.165,203.82000000000002,7
BC,historical,500003,1987,Wet,857.0471428571428,750.31,694.0699999999999,917.19,7
BC,historical,500003,1988,Annual,1306.9771428571428,1236.06,856.3499999999999,1749.5499999999997,7
BC,historical,500003,1988,Dry,233.91857142857143,168.08,126.60000000000001,349.66,7
BC,historical,500003,1988,Wet,1037.8,1040.4199999999998,705.03,1284.7949999999998,7
BC,historical,500003,1989,Annual,1031.1114285714286,998.8199999999999,903.7,1149.865,7
BC,historical,500003,1989,Dry,191.0414285714286,169.96,167.55,219.69,7
BC,historical,500003,1989,Wet,867.3114285714286,871.52,780.9850000000001,1005.375,7
BC,historical,500003,1990,Annual,896.0842857142858,798.01,614.8699999999999,1003.3800000000001,7
BC,historical,500003,1990,Dry,166.44,161.05,131.04999999999998,173.16,7
BC,historical,500003,1990,Wet,760.66,631.9599999999999,513.065,891.49,7
BC,historical,500003,1991,Annual,1116.8442857142857,1080.97,893.01,1398.45,7
BC,historical,500003,1991,Dry,187.19,181.53,134.93,186.8,7
BC,historical,500003,1991,Wet,914.4314285714287,768.8100000000001,724.2650000000001,1128.9650000000001,7
BC,historical,500003,1992,Annual,1226.4742857142858,1235.8600000000001,1002.79,1480.645,7
BC,historical,500003,1992,Dry,168.50285714285715,186.87,88.75,231.455,7
BC,historical,500003,1992,Wet,1049.3771428571429,1021.54,870.895,1238.1599999999999,7
BC,historical,500003,1993,Annual,1015.0357142857143,989.4300000000001,720.7,1168.69,7
BC,historical,500003,1993,Dry,177.87857142857143,133.0,89.27000000000001,250.06499999999997,7
BC,historical,500003,1993,Wet,830.9514285714286,797.23,637.86,964.5350000000001,7
BC,historical,500003,1994,Annual,1276.7457142857145,1155.25,975.76,1598.7600000000002,7
BC,historical,500003,1994,Dry,195.77,138.76999999999998,86.66,303.57000000000005,7
BC,historical,500003,1994,Wet,1067.8685714285714,1077.03,808.225,1339.565,7
BC,historical,500003,1995,Annual,1396.0885714285716,1174.58,1127.475,1517.7800000000002,7
BC,historical,500003,1995,Dry,162.19714285714284,173.2,118.345,176.025,7
BC,historical,500003,1995,Wet,1147.8028571428572,1029.1100000000001,952.6500000000001,1099.0149999999999,7
BC,historical,500003,1996,Annual,1161.9571428571428,1219.96,927.275,1394.63,7
BC,historical,500003,1996,Dry,268.81142857142856,144.96999999999997,107.97,337.91499999999996,7
BC,historical,500003,1996,Wet,923.6899999999999,954.8499999999999,790.6,1095.255,7
BC,historical,500003,1997,Annual,894.1685714285715,841.06,619.345,1117.24,7
BC,historical,500003,1997,Dry,292.6385714285715,306.23,258.655,325.29499999999996,7
BC,historical,500003,1997,Wet,655.2914285714286,545.54,398.3,883.845,7
BC,historical,500003,1998,Annual,1303.7057142857143,1530.93,1009.755,1591.53,7
BC,historical,500003,1998,Dry,185.5257142857143,196.27999999999997,137.5,252.845,7
BC,historical,500003,1998,Wet,1072.5357142857142,1183.7,936.045,1240.655,7
BC,historical,500003,1999,Annual,1072.5528571428572,1111.96,918.0999999999999,1199.64,7
BC,historical,500003,1999,Dry,230.35285714285715,183.51999999999998,123.46000000000001,360.995,7
BC,historical,500003,1999,Wet,868.3142857142857,901.8100000000001,751.02,988.965,7
BC,historical,500003,2000,Annual,1000.7657142857144,808.2099999999999,629.84,1267.475,7
BC,historical,500003,2000,Dry,210.89714285714285,182.49,127.80499999999999,252.07999999999998,7
BC,historical,500003,2000,Wet,829.8085714285714,734.7,513.395,1014.13,7
BC,historical,500003,2001,Annual,1237.4285714285713,1406.67,951.4899999999999,1411.7849999999999,7
BC,historical,500003,2001,Dry,198.6257142857143,190.73,137.685,233.66,7
BC,historical,500003,2001,Wet,1013.2214285714286,1084.9,774.34,1201.185,7
BC,historical,500003,2002,Annual,1115.1,1093.4299999999998,927.9100000000001,1353.67,7
BC,historical,500003,2002,Dry,212.02428571428572,235.44,135.375,280.42,7
BC,historical,500003,2002,Wet,940.1528571428572,871.95,787.5,1134.69,7
BC,historical,500003,2003,Annual,1135.7342857142858,1221.7600000000002,1144.315,1345.15,7
BC,historical,500003,2003,Dry,205.31428571428572,179.83,150.465,266.03,7
BC,historical,500003,2003,Wet,843.9257142857143,905.3499999999999,864.33,979.21,7
BC,historical,500003,2004,Annual,1105.5085714285713,1014.8599999999999,958.9849999999999,1377.01,7
BC,historical,500003,2004,Dry,240.37857142857143,216.18,134.64999999999998,312.82000000000005,7
BC,historical,500003,2004,Wet,938.2742857142857,914.48,802.9749999999999,1147.395,7
BC,historical,500003,2005,Annual,1197.4857142857143,1254.7599999999998,999.195,1474.9650000000001,7
BC,historical,500003,2005,Dry,196.45142857142855,105.35,86.09,358.53999999999996,7
BC,historical,500003,2005,Wet,962.4342857142857,966.97,747.72,1166.79,7
BC,historical,500003,2006,Annual,1151.847142857143,1039.79,960.8550000000001,1154.87,7
BC,historical,500003,2006,Dry,160.32142857142858,113.11000000000001,87.735,239.91,7
BC,historical,500003,2006,Wet,1003.8342857142858,876.8700000000001,843.815,928.04,7
BC,historical,500003,2007,Annual,945.5585714285714,867.0799999999999,738.95,966.48,7
BC,historical,500003,2007,Dry,184.88285714285715,194.17000000000002,150.67499999999998,226.035,7
BC,historical,500003,2007,Wet,781.7557142857142,677.79,627.815,873.31,7
BC,historical,500003,2008,Annual,930.0014285714286,717.0799999999999,678.2849999999999,1044.135,7
BC,historical,500003,2008,Dry,186.4457142857143,140.54,131.16000000000003,174.33,7
BC,historical,500003,2008,Wet,753.9485714285713,632.8399999999999,452.29999999999995,915.045,7
BC,historical,500003,2009,Annual,1054.5014285714285,989.43,766.5,1334.225,7
BC,historical,500003,2009,Dry,164.80857142857144,56.11,46.55,292.625,7
BC,historical,500003,2009,Wet,872.0857142857142,924.21,595.735,986.285,7
BC,historical,500003,2010,Annual,1016.0357142857143,846.83,771.03,1162.19,7
BC,historical,500003,2010,Dry,278.6828571428572,258.11,101.11000000000001,360.27500000000003,7
BC,historical,500003,2010,Wet,751.0742857142858,794.48,671.0799999999999,918.4000000000001,7
BC,historical,500003,2011,Annual,1120.46,1172.56,1112.6,1234.275,7
BC,historical,500003,2011,Dry,182.10142857142858,134.41,61.30499999999999,270.595,7
BC,historical,500003,2011,Wet,936.5871428571429,929.9100000000001,890.85,1052.47,7
BC,historical,500003,2012,Annual,935.1,872.6399999999999,649.3149999999999,1177.51,7
BC,historical,500003,2012,Dry,184.37999999999997,154.89999999999998,80.86500000000001,241.90499999999997,7
BC,historical,500003,2012,Wet,693.6585714285713,562.5699999999999,549.31,850.905,7
BC,historical,500003,2013,Annual,1123.1442857142856,1022.81,813.8549999999999,1414.405,7
BC,historical,500003,2013,Dry,229.79857142857142,122.63,82.84,411.27,7
BC,historical,500003,2013,Wet,944.8342857142858,840.9,709.9300000000001,1089.375,7
BC,historical,500003,2014,Annual,1310.3971428571426,1338.47,1019.3049999999998,1511.29,7
BC,historical,500003,2014,Dry,309.21714285714285,157.83,119.33,517.9200000000001,7
BC,historical,500003,2014,Wet,924.4,886.9100000000001,708.615,1073.0549999999998,7
BC,historical,500004,1981,Annual,1078.1128571428571,1203.9,780.35,1206.73,7
BC,historical,500004,1981,Wet,853.9814285714286,833.0400000000001,587.91,1083.8850000000002,7
BC,historical,500004,1982,Annual,1080.8585714285714,946.4299999999998,905.365,1188.075,7
BC,historical,500004,1982,Dry,218.10857142857142,163.98999999999998,130.93,206.945,7
BC,historical,500004,1982,Wet,864.1071428571429,786.1299999999999,756.98,940.3599999999999,7
