Station,Lat,Lon,Altitude
328001,18.71,99.56,303
328002,18.13,99.51,250
328003,18.78,99.97,298
328004,18.32,99.32,284
328005,17.61,99.22,167
328006,18.19,99.4,226
328007,17.88,99.34,199
328008,19.15,99.62,419
328009,17.45,99.11,165
328010,18.63,99.91,322
328011,18.34,99.25,354
328012,18.49,99.65,411
328013,18.43,99.72,395
328014,18.27,99.76,325
328015,18.48,99.55,405
328201,18.28,99.5,240
328301,18.33,99.3,298
303001,20.2,100.42,356
303002,19.55,99.75,407
303003,19.28,99.52,549
303004,20.42,99.9,391
303005,20.1,99.87,439
303006,19.67,99.55,461
303007,19.67,100.2,367
303008,20.22,100.08,367
303009,19.53,99.73,404
303010,20.12,99.87,441
303011,20.23,99.93,386
303012,19.8,99.68,447
303013,20.22,99.77,645
303014,20.4,99.87,465
303015,19.92,99.92,387
303016,19.52,100.0,383
303017,19.98,100.03,392
303201,19.96,99.88,389
303301,19.87,99.78,418
376001,17.0,99.1,121
376002,16.95,98.53,185
376003,17.18,99.07,130
376004,17.17,98.28,133
376007,16.92,99.12,135
376008,17.27,98.87,240
376009,17.33,98.82,300
376010,17.35,98.65,297
376011,16.77,99.03,267
376012,16.38,98.7,367
376201,16.88,99.12,109
376202,16.66,98.55,247
376203,17.23,99.05,157
376301,16.75,98.93,874
376401,16.02,98.87,585
331002,18.33,100.72,264
331003,19.18,100.92,255
331004,18.58,100.75,194
331005,19.28,100.88,262
331006,18.7,101.0,272
331007,18.5,100.52,426
331008,19.18,100.98,507
331009,19.35,100.75,781
331011,19.15,101.16,774
331201,18.78,100.78,202
331301,18.87,100.75,283
331401,19.11,100.8,228
331402,19.41,100.89,343
351001,17.23,100.1,53
351002,17.42,100.13,64
351003,17.67,100.68,368
351004,17.65,100.38,112
351005,17.6,100.05,81
351006,17.92,100.88,339
351007,18.02,101.07,425
351008,17.47,100.37,80
351009,17.75,100.28,94
351010,17.9,100.82,210
351011,17.56,100.11,65
351012,17.75,100.92,411
351201,17.62,100.1,67
378001,16.77,100.45,59
378002,16.95,100.2,54
378004,17.03,100.83,216
378005,17.18,100.63,311
378006,16.92,100.35,48
378007,16.53,100.32,39
378008,16.87,100.75,359
378009,16.85,100.35,45
378010,17.33,100.47,216
378201,16.78,100.27,48
379003,16.13,100.88,159
379007,16.75,101.02,699
379008,16.55,100.97,1233
379009,16.32,100.82,118
379024,16.77,101.03,747
379030,16.65,101.02,922
380006,16.47,99.65,66
386001,16.4,100.35,34
386002,15.98,100.42,30
386005,16.35,100.6,55
386006,16.17,100.45,31
386010,16.49,100.49,41
400201,15.8,100.17,26
424004,13.33,99.87,4
438002,13.38,99.98,3
465001,13.07,99.97,6
465002,12.75,99.98,0
465003,13.22,99.85,3
465004,13.02,99.95,13
465005,12.97,99.89,17
465006,13.22,99.98,1
465007,13.15,99.7,71
465008,12.8,99.98,8
465009,12.78,99.92,28
465010,12.67,99.9,58
465011,12.7,99.9,55
465012,12.72,99.88,65
465201,13.15,100.07,0
500001,12.37,99.95,8
500002,11.18,99.55,0
500003,12.02,99.9,0
500004,11.47,99.65,0
500005,11.6,99.68,6
500006,11.62,99.67,24
500007,11.9,99.78,24
500008,12.53,99.55,128
500009,12.22,99.87,13
500201,11.83,99.83,64
500202,12.59,99.96,0
500301,12.58,99.73,106
517008,10.92,99.38,49
