,Station,Year,Annual_mm
0,PKK001,1981,1014.1
1,PKK001,1982,985.7
2,PKK001,1983,867.6
3,PKK001,1984,1104.3
4,PKK001,1985,895.5
5,PKK001,1986,950.6
6,PKK001,1987,1039.2
7,PKK001,1988,846.2
8,PKK001,1989,1094.4
9,PKK001,1990,1083.3
10,PKK001,1991,1038.8
11,PKK001,1992,993.5
12,PKK001,1993,1032.6
13,PKK001,1994,923.3
14,PKK001,1995,970.5
15,PKK001,1996,1096.2
16,PKK001,1997,977.2
17,PKK001,1998,1033.3
18,PKK001,1999,1073.5
19,PKK001,2000,951.0
20,PKK001,2001,867.1
21,PKK001,2002,883.4
22,PKK001,2003,1086.1
23,PKK001,2004,1030.5
24,PKK001,2005,934.0
25,PKK001,2006,1045.7
26,PKK001,2007,1075.0
27,PKK001,2008,960.1
28,PKK001,2009,1081.4
29,PKK001,2010,1133.2
30,PKK001,2011,1040.6
31,PKK001,2012,979.6
32,PKK001,2013,934.4
33,PKK001,2014,838.9
34,PKK002,1981,1074.5
35,PKK002,1982,821.4
36,PKK002,1983,1256.1
37,PKK002,1984,1211.4
38,PKK002,1985,1147.6
39,PKK002,1986,1218.6
40,PKK002,1987,951.1
41,PKK002,1988,1044.9
42,PKK002,1989,1085.5
43,PKK002,1990,1082.4
44,PKK002,1991,1034.1
45,PKK002,1992,957.1
46,PKK002,1993,988.8
47,PKK002,1994,1094.0
48,PKK002,1995,902.7
49,PKK002,1996,1061.2
50,PKK002,1997,923.4
51,PKK002,1998,1290.9
52,PKK002,1999,981.3
53,PKK002,2000,999.1
54,PKK002,2001,1132.2
55,PKK002,2002,953.4
56,PKK002,2003,1015.5
57,PKK002,2004,1230.1
58,PKK002,2005,1048.3
59,PKK002,2006,1051.5
60,PKK002,2007,1045.8
61,PKK002,2008,1084.4
62,PKK002,2009,1108.2
63,PKK002,2010,1071.6
64,PKK002,2011,1161.2
65,PKK002,2012,1143.7
66,PKK002,2013,942.0
67,PKK002,2014,994.0
68,PKK003,1981,1219.6
69,PKK003,1982,1307.9
70,PKK003,1983,1036.7
71,PKK003,1984,1405.9
72,PKK003,1985,1131.6
73,PKK003,1986,979.4
74,PKK003,1987,1252.7
75,PKK003,1988,1256.7
76,PKK003,1989,1186.5
77,PKK003,1990,1273.3
78,PKK003,1991,1318.2
79,PKK003,1992,1095.2
80,PKK003,1993,962.6
81,PKK003,1994,1093.8
82,PKK003,1995,1126.6
83,PKK003,1996,1113.5
84,PKK003,1997,1355.8
85,PKK003,1998,1030.3
86,PKK003,1999,1232.4
87,PKK003,2000,1270.5
88,PKK003,2001,1114.2
89,PKK003,2002,1222.0
90,PKK003,2003,1118.6
91,PKK003,2004,1236.2
92,PKK003,2005,1349.2
93,PKK003,2006,1019.9
94,PKK003,2007,1007.8
95,PKK003,2008,1276.0
96,PKK003,2009,1024.2
97,PKK003,2010,1084.5
98,PKK003,2011,1080.4
99,PKK003,2012,956.0
100,PKK003,2013,1044.1
101,PKK003,2014,1089.4
102,PKK004,1981,1153.9
103,PKK004,1982,899.6
104,PKK004,1983,965.0
105,PKK004,1984,1021.3000000000001
106,PKK004,1985,1130.4
107,PKK004,1986,1210.2
108,PKK004,1987,844.7
109,PKK004,1988,905.7
110,PKK004,1989,953.8
111,PKK004,1990,822.2
112,PKK004,1991,877.2
113,PKK004,1992,1136.5
114,PKK004,1993,1231.2
115,PKK004,1994,1091.4
116,PKK004,1995,861.0
117,PKK004,1996,982.2
118,PKK004,1997,1034.1
119,PKK004,1998,946.6
120,PKK004,1999,1098.9
121,PKK004,2000,960.4
122,PKK004,2001,985.1
123,PKK004,2002,1039.8
124,PKK004,2003,1063.9
125,PKK004,2004,990.1
126,PKK004,2005,818.9
127,PKK004,2006,1100.9
128,PKK004,2007,789.5
129,PKK004,2008,919.6
130,PKK004,2009,875.1
131,PKK004,2010,1135.5
132,PKK004,2011,1066.2
133,PKK004,2012,972.5
134,PKK004,2013,1135.7
135,PKK004,2014,977.0
136,PKK005,1981,1130.7
137,PKK005,1982,1364.9
138,PKK005,1983,1281.3
139,PKK005,1984,1151.9
140,PKK005,1985,1327.2
141,PKK005,1986,1198.8
142,PKK005,1987,1444.8
143,PKK005,1988,1271.2
144,PKK005,1989,1295.0
145,PKK005,1990,1299.5
146,PKK005,1991,1104.9
147,PKK005,1992,1365.4
148,PKK005,1993,1361.3
149,PKK005,1994,1384.4
150,PKK005,1995,1191.9
151,PKK005,1996,962.2
152,PKK005,1997,1376.8
153,PKK005,1998,1104.3
154,PKK005,1999,1200.7
155,PKK005,2000,1231.3
156,PKK005,2001,1216.4
157,PKK005,2002,1248.9
158,PKK005,2003,1210.2
159,PKK005,2004,1377.1
160,PKK005,2005,1117.0
161,PKK005,2006,1264.4
162,PKK005,2007,1168.9
163,PKK005,2008,1351.1
164,PKK005,2009,1333.3
165,PKK005,2010,1464.1
166,PKK005,2011,1339.4
167,PKK005,2012,1193.9
168,PKK005,2013,1217.0
169,PKK005,2014,1233.7
