,Station,Year,Month,Monthly_mm
0,PKK001,1981,1,7.5
1,PKK001,1981,2,2.3
2,PKK001,1981,3,19.799999999999997
3,PKK001,1981,4,64.8
4,PKK001,1981,5,140.0
5,PKK001,1981,6,129.8
6,PKK001,1981,7,136.3
7,PKK001,1981,8,241.4
8,PKK001,1981,9,135.6
9,PKK001,1981,10,94.5
10,PKK001,1981,11,33.3
11,PKK001,1981,12,8.8
12,PKK001,1982,1,4.300000000000001
13,PKK001,1982,2,15.7
14,PKK001,1982,3,15.8
15,PKK001,1982,4,62.1
16,PKK001,1982,5,149.1
17,PKK001,1982,6,135.5
18,PKK001,1982,7,173.3
19,PKK001,1982,8,141.3
20,PKK001,1982,9,120.2
21,PKK001,1982,10,117.9
22,PKK001,1982,11,43.8
23,PKK001,1982,12,6.7
24,PKK001,1983,1,4.2
25,PKK001,1983,2,7.0
26,PKK001,1983,3,25.7
27,PKK001,1983,4,40.6
28,PKK001,1983,5,120.9
29,PKK001,1983,6,144.7
30,PKK001,1983,7,157.8
31,PKK001,1983,8,116.0
32,PKK001,1983,9,136.7
33,PKK001,1983,10,95.5
34,PKK001,1983,11,13.2
35,PKK001,1983,12,5.3
36,PKK001,1984,1,6.7
37,PKK001,1984,2,7.7
38,PKK001,1984,3,6.4
39,PKK001,1984,4,50.9
40,PKK001,1984,5,95.2
41,PKK001,1984,6,197.2
42,PKK001,1984,7,177.5
43,PKK001,1984,8,218.8
44,PKK001,1984,9,192.4
45,PKK001,1984,10,104.2
46,PKK001,1984,11,39.2
47,PKK001,1984,12,8.1
48,PKK001,1985,1,6.4
49,PKK001,1985,2,6.3
50,PKK001,1985,3,21.6
51,PKK001,1985,4,57.7
52,PKK001,1985,5,146.5
53,PKK001,1985,6,139.0
54,PKK001,1985,7,161.9
55,PKK001,1985,8,136.5
56,PKK001,1985,9,63.2
57,PKK001,1985,10,128.5
58,PKK001,1985,11,17.1
59,PKK001,1985,12,10.8
60,PKK001,1986,1,3.5
61,PKK001,1986,2,8.9
62,PKK001,1986,3,23.2
63,PKK001,1986,4,41.8
64,PKK001,1986,5,132.5
65,PKK001,1986,6,110.3
66,PKK001,1986,7,145.1
67,PKK001,1986,8,182.3
68,PKK001,1986,9,153.6
69,PKK001,1986,10,117.9
70,PKK001,1986,11,24.1
71,PKK001,1986,12,7.4
72,PKK001,1987,1,1.6
73,PKK001,1987,2,5.1
74,PKK001,1987,3,6.6
75,PKK001,1987,4,52.4
76,PKK001,1987,5,124.2
77,PKK001,1987,6,142.4
78,PKK001,1987,7,245.2
79,PKK001,1987,8,152.2
80,PKK001,1987,9,144.2
81,PKK001,1987,10,90.5
82,PKK001,1987,11,61.5
83,PKK001,1987,12,13.3
84,PKK001,1988,1,5.5
85,PKK001,1988,2,7.9
86,PKK001,1988,3,22.1
87,PKK001,1988,4,44.4
88,PKK001,1988,5,130.0
89,PKK001,1988,6,120.8
90,PKK001,1988,7,139.3
91,PKK001,1988,8,124.8
