,Station,Year,Wet_mm,Dry_mm
0,PKK001,1981,877.6,94.4
1,PKK001,1982,837.3,140.0
2,PKK001,1983,771.6,128.0
3,PKK001,1984,985.3,90.2
4,PKK001,1985,775.6,139.3
5,PKK001,1986,841.7,105.3
6,PKK001,1987,898.7,97.2
7,PKK001,1988,726.9,154.7
8,PKK001,1989,967.2,133.3
9,PKK001,1990,943.0,134.7
10,PKK001,1991,881.7,141.8
11,PKK001,1992,885.3,120.2
12,PKK001,1993,869.3,143.2
13,PKK001,1994,763.4,163.1
14,PKK001,1995,840.9,158.1
15,PKK001,1996,956.3,125.2
16,PKK001,1997,795.4,147.6
17,PKK001,1998,915.8,165.1
18,PKK001,1999,935.9,124.2
19,PKK001,2000,809.1,144.8
20,PKK001,2001,744.0,114.39999999999999
21,PKK001,2002,764.5,141.6
22,PKK001,2003,984.3,106.7
23,PKK001,2004,902.9,108.9
24,PKK001,2005,828.2,113.4
25,PKK001,2006,958.3,102.2
26,PKK001,2007,955.5,101.8
27,PKK001,2008,846.8,100.9
28,PKK001,2009,975.6,107.3
29,PKK001,2010,999.9,138.2
30,PKK001,2011,905.1,120.1
31,PKK001,2012,845.0,154.8
32,PKK001,2013,802.3,131.1
33,PKK001,2014,739.2,120.1
34,PKK001,2015,,19.3
35,PKK002,1981,948.0,79.8
36,PKK002,1982,707.9,123.3
37,PKK002,1983,1108.6,132.9
38,PKK002,1984,1092.9,125.8
39,PKK002,1985,1028.9,137.2
40,PKK002,1986,1059.3,127.5
41,PKK002,1987,855.3,113.4
42,PKK002,1988,906.5,116.6
43,PKK002,1989,961.2,146.4
44,PKK002,1990,953.4,131.3
45,PKK002,1991,927.8,91.2
46,PKK002,1992,866.0,104.2
47,PKK002,1993,852.4,115.3
48,PKK002,1994,923.0,178.9
49,PKK002,1995,758.1,148.1
50,PKK002,1996,946.5,129.8
51,PKK002,1997,781.6,134.3
52,PKK002,1998,1154.9,123.7
53,PKK002,1999,778.3,222.5
54,PKK002,2000,886.9,106.5
55,PKK002,2001,1000.5,120.0
56,PKK002,2002,820.4,152.7
57,PKK002,2003,896.2,93.9
58,PKK002,2004,1098.2,133.6
59,PKK002,2005,930.0,134.9
60,PKK002,2006,942.9,102.1
61,PKK002,2007,890.0,137.6
62,PKK002,2008,1004.5,105.10000000000001
63,PKK002,2009,988.4,104.3
64,PKK002,2010,935.6,148.8
65,PKK002,2011,1061.4,102.6
66,PKK002,2012,1036.0,114.2
67,PKK002,2013,865.4,71.0
68,PKK002,2014,875.2,106.8
69,PKK002,2015,,49.5
70,PKK003,1981,1102.8,87.1
71,PKK003,1982,1137.8,152.7
72,PKK003,1983,896.0,150.3
73,PKK003,1984,1238.1,135.8
74,PKK003,1985,974.5,171.0
75,PKK003,1986,848.6,147.4
76,PKK003,1987,1070.2,154.5
77,PKK003,1988,1092.8,171.1
78,PKK003,1989,1039.1,169.0
79,PKK003,1990,1127.7,139.3
80,PKK003,1991,1163.7,149.4
81,PKK003,1992,949.4,139.8
82,PKK003,1993,822.3,127.5
83,PKK003,1994,897.8,176.3
84,PKK003,1995,936.1,221.2
85,PKK003,1996,964.6,154.4
86,PKK003,1997,1174.9,159.4
87,PKK003,1998,890.1,162.3
88,PKK003,1999,1105.2,142.1
89,PKK003,2000,1104.3,157.4
90,PKK003,2001,968.2,166.4
91,PKK003,2002,999.1,179.9
92,PKK003,2003,975.3,169.29999999999998
93,PKK003,2004,1014.5,219.6
94,PKK003,2005,1203.9,148.2
95,PKK003,2006,892.3,111.8
96,PKK003,2007,891.2,130.8
97,PKK003,2008,1105.8,145.5
98,PKK003,2009,875.1,189.3
99,PKK003,2010,954.7,90.7
100,PKK003,2011,942.5,154.0
101,PKK003,2012,812.4,153.5
102,PKK003,2013,922.3,129.1
103,PKK003,2014,984.9,101.8
104,PKK003,2015,,35.6
105,PKK004,1981,1013.3,91.5
106,PKK004,1982,778.7,140.6
107,PKK004,1983,844.7,96.5
108,PKK004,1984,903.2,139.1
109,PKK004,1985,986.2,142.7
110,PKK004,1986,1025.7,148.5
111,PKK004,1987,741.9,130.9
112,PKK004,1988,806.2,119.8
113,PKK004,1989,824.0,118.6
114,PKK004,1990,689.2,139.0
115,PKK004,1991,759.4,119.8
116,PKK004,1992,1006.5,98.1
117,PKK004,1993,1126.9,130.5
118,PKK004,1994,937.9,145.6
119,PKK004,1995,775.2,104.7
120,PKK004,1996,855.6,129.7
121,PKK004,1997,911.5,101.89999999999999
122,PKK004,1998,847.8,95.1
123,PKK004,1999,981.2,117.2
124,PKK004,2000,843.4,137.1
125,PKK004,2001,864.9,112.3
126,PKK004,2002,898.3,122.5
127,PKK004,2003,941.1,150.7
128,PKK004,2004,850.7,110.0
129,PKK004,2005,737.7,119.1
130,PKK004,2006,981.5,99.8
131,PKK004,2007,665.4,102.5
132,PKK004,2008,755.3,157.5
133,PKK004,2009,763.2,113.6
134,PKK004,2010,983.8,151.7
135,PKK004,2011,948.4,125.6
136,PKK004,2012,828.1,150.6
137,PKK004,2013,1038.2,117.9
138,PKK004,2014,861.3,102.1
139,PKK004,2015,,36.9
140,PKK005,1981,987.3000000000001,102.6
141,PKK005,1982,1159.0,185.6
142,PKK005,1983,1099.8,194.0
143,PKK005,1984,1005.4,152.0
144,PKK005,1985,1121.5,190.5
145,PKK005,1986,1064.8,150.6
146,PKK005,1987,1250.5,181.5
147,PKK005,1988,1140.8,149.5
148,PKK005,1989,1115.9,165.8
149,PKK005,1990,1131.9,178.6
150,PKK005,1991,925.4,195.7
151,PKK005,1992,1128.6,173.3
152,PKK005,1993,1148.3,212.2
153,PKK005,1994,1232.9,163.5
154,PKK005,1995,1015.3,192.3
155,PKK005,1996,809.1,158.2
156,PKK005,1997,1175.5,157.0
157,PKK005,1998,952.7,205.6
158,PKK005,1999,1038.2,152.2
159,PKK005,2000,1047.6,180.1
160,PKK005,2001,1060.4,154.8
161,PKK005,2002,1087.1,174.6
162,PKK005,2003,1025.5,155.9
163,PKK005,2004,1208.1,180.2
164,PKK005,2005,942.5,189.0
165,PKK005,2006,1106.8,153.5
166,PKK005,2007,1019.5,136.4
167,PKK005,2008,1174.4,184.0
168,PKK005,2009,1224.8,123.10000000000001
169,PKK005,2010,1278.3,140.9
170,PKK005,2011,1173.5,217.7
171,PKK005,2012,1026.4,136.9
172,PKK005,2013,1057.4,183.6
173,PKK005,2014,1091.7,131.4
174,PKK005,2015,,54.2
